WOJEWÓDZTWO|TERYT|2014.01|2014.02|2014.03|2014.04|2014.05|2014.06|2014.07|2014.08|2014.09|2014.10|2014.11|2014.12
Dolnoœl¹skie|02|7921|8505|9831|9636|8938|9059|9940|8249|9141|9816|7297|7885
Kujawsko-pomorskie|04|5153|5374|6753|7036|6252|6229|6993|5842|6086|6218|4746|4954
Lubelskie|06|4864|5159|6786|6760|6256|6121|6974|5853|6087|6419|4777|5316
Lubuskie|08|3217|3461|4081|4170|3806|3785|4175|3660|3649|4027|3124|3109
£ódzkie|10|5798|6539|8154|8022|7472|7338|8002|6455|7183|7654|5870|6008
Ma³opolskie|12|8950|9541|11134|10995|9909|9926|10966|9191|9834|10723|8242|8896
Mazowieckie|14|17194|19587|25124|24120|22492|21889|23771|19069|21797|23365|18955|20966
Opolskie|16|2687|2594|3120|3140|2925|2908|3166|2848|2802|2986|2325|2317
Podkarpackie|18|5183|5173|6324|6383|5961|6040|6904|5994|5893|6221|4841|5597
Podlaskie|20|2617|3017|3763|3915|3310|3398|3665|3062|3261|3225|2408|2704
Pomorskie|22|5881|6626|7795|7849|6969|7297|8073|6689|7325|7657|5879|5949
Œl¹skie|24|11788|12834|14899|14019|12743|13029|14003|11538|12636|13958|10757|11258
Œwiêtokrzyskie|26|3199|3450|4173|4236|4075|3842|4361|3597|3796|3839|2936|3181
Warmiñskie-mazurskie|28|2852|3195|4038|4250|3775|3932|4442|3736|3717|3723|2828|2900
Wielkopolskie|30|12832|14272|17037|17051|15448|15031|16385|13592|14542|15866|12313|13097
Zachodniopomorskie|32|4103|4309|5187|5262|4832|4866|5669|4784|5013|5081|3882|4049
