WOJEWÓDZTWO|TERYT|2016.01|2016.02|2016.03|2016.04|2016.05|2016.06|2016.07|2016.08|2016.09|2016.10|2016.11|2016.12|
Dolnoœl¹skie|02|9686|10248|11778|11736|11549|12624|11079|11125|11351|10588|11262|13222|
Kujawsko-pomorskie|04|5657|6861|7572|7775|7324|7760|7245|7248|7617|6751|6771|8183|
Lubelskie|06|5840|6528|7538|7824|7346|7760|7473|7763|7473|6963|7249|9453|
Lubuskie|08|3755|4290|4651|4930|4597|4960|4641|4718|4642|4357|4575|5572|
£ódzkie|10|6818|8141|9230|9675|8959|9536|8700|8604|8670|8414|8408|9998|
Ma³opolskie|12|10088|11329|13478|13320|12694|13706|12307|12337|12646|11976|12103|14738|
Mazowieckie|14|20721|24313|30052|29768|28183|31179|26639|25877|26870|25561|27944|31168|
Opolskie|16|2756|2967|3396|3428|3327|3544|3250|3353|3374|3089|3080|4132|
Podkarpackie|18|5909|6292|7938|7654|7496|7777|8007|7823|7655|6961|7306|9000|
Podlaskie|20|3037|3515|4364|4128|3821|4124|3938|4076|3860|3531|3880|4761|
Pomorskie|22|6974|7672|8833|9198|8566|9435|8668|8652|8733|7999|8353|9796|
Œl¹skie|24|13245|14728|16447|17381|16250|17331|14946|14889|15965|15188|15353|17486|
Œwiêtokrzyskie|26|3902|4089|4677|4719|4726|5057|4929|4882|4850|4388|4548|5394|
Warmiñsko-mazurskie|28|3330|3887|4616|4863|4725|4848|4791|4580|4507|4165|4124|4986|
Wielkopolskie|30|14821|17389|19680|20023|18530|19842|18172|17421|18482|17614|18407|21558|
Zachodniopomorskie|32|4693|5001|5866|6041|5796|6058|5932|6086|6208|5452|5446|7251|
