WOJEWÓDZTWO|TERYT|2018.01|2018.02|2018.03|2018.04|2018.05|2018.06|2018.07|2018.08|2018.09|2018.10|2018.11|2018.12|
Dolnoœl¹skie|02|11034|10652|12655|13904|12365|12226|12699|13255|10248|12642|11041|10381|
Kujawsko-pomorskie|04|6526|6423|8140|8529|7735|7716|7904|8130|6469|7827|6770|6456|
Lubelskie|06|6940|6623|8120|8907|8167|8052|8374|8232|6891|8475|7239|6510|
Lubuskie|08|4192|4062|4921|5196|4837|4739|4829|4671|4097|4889|4349|3791|
£ódzkie|10|8750|8438|10314|10865|9802|9415|9547|9889|8229|9641|8624|7875|
Ma³opolskie|12|12838|11146|14438|16440|14805|15269|15013|15554|12041|14353|12631|11596|
Mazowieckie|14|26696|27213|34860|35525|31346|33294|33327|36081|24758|30518|28143|27403|
Opolskie|16|3088|3153|3767|3910|3635|3573|3630|3851|3006|3700|3184|2939|
Podkarpackie|18|7441|6648|8533|9441|8717|8493|8948|9308|7684|8863|7921|6810|
Podlaskie|20|3650|3716|4816|4729|4282|4366|4690|4663|3722|4436|3887|3847|
Pomorskie|22|8570|8094|9918|10385|9367|9630|9744|10107|8240|9507|8494|8134|
Œl¹skie|24|16931|15520|18495|19770|17504|17524|17503|18346|14205|17933|15643|14195|
Œwiêtokrzyskie|26|4425|4147|4855|5295|4982|4984|5136|5232|4338|5143|4303|4008|
Warmiñsko-mazurskie|28|3484|3478|4342|5005|4870|4810|5005|5048|4166|4677|4140|3861|
Wielkopolskie|30|17421|16899|21719|21987|20036|19948|19632|19911|16339|20025|18032|16558|
Zachodniopomorskie|32|5228|4922|6186|6444|6064|5694|6356|6170|5260|6441|5453|5115|
