WOJEWÓDZTWO|TERYT|2029.01|2020.02|2020.03|2020.04|2020.05|2020.06|2020.07|2020.08|2020.09|2020.10|2020.11|2020.12|
Dolnoœl¹skie|02|11380|10909|8253|5002|8322|11743|13435|11237|12556|11715|10149|12294|
Kujawsko-pomorskie|04|7039|7065|5578|3087|5467|7350|8227|6829|7593|7213|6227|7726|
Lubelskie|06|7517|7279|4876|3088|6016|7508|8459|7222|8043|7513|6171|7598|
Lubuskie|08|4243|4223|3149|1883|3106|4216|4983|4235|4717|4232|3770|4257|
£ódzkie|10|8611|8971|5599|3951|6669|8410|9589|7780|8738|8446|7359|8658|
Ma³opolskie|12|12851|13052|8390|5121|9704|12766|15211|12325|13477|12227|11296|13752|
Mazowieckie|14|26461|26880|22131|13295|19377|26780|31271|26198|29297|28911|27031|32124|
Opolskie|16|3300|3251|2284|1370|2461|3292|4038|3245|3534|3469|2738|3289|
Podkarpackie|18|7486|7498|4694|3142|5838|7334|8610|7501|7730|7304|6223|7797|
Podlaskie|20|3887|4029|2969|1973|3314|4009|4611|4219|4297|3821|3206|4079|
Pomorskie|22|7916|8822|5793|4009|6002|9247|10550|8527|9322|9147|7938|9427|
Œl¹skie|24|14912|15856|9833|6577|10435|14234|16557|13656|15638|14884|13653|15628|
Œwiêtokrzyskie|26|4818|4648|2978|1697|3456|4356|4901|4318|4507|3962|3416|4489|
Warmiñsko-mazurskie|28|4328|4214|2965|1855|3563|4495|5558|4521|4794|4567|3536|4365|
Wielkopolskie|30|17535|17972|12908|9008|13869|18218|21063|17192|19842|19291|16401|19515|
Zachodniopomorskie|32|5371|5157|3609|2101|3930|5641|6506|5332|5964|5746|4512|5559|
