WOJEWÓDZTWO,styczeń,luty,marzec,kwiecień,maj,czerwiec,lipiec,sierpień,wrzesień,październik,listopad,grudzień
DOLNOŚLĄSKIE,9493,10644,14114,12186,12716,13243,12145,11034,10898,10176,9914,9735
KUJAWSKO-POMORSKIE,5769,6627,8807,8075,7695,7999,7610,6777,6919,6596,6128,6433
LUBELSKIE,6313,6425,9140,8191,8188,8442,7779,7405,7470,7038,6701,7155
LUBUSKIE,3539,4285,5355,4424,4897,4992,4436,4345,4480,4312,3959,3675
ŁÓDZKIE,7006,8490,10428,9756,9693,10136,9018,7987,8480,8218,8157,8033
MAŁOPOLSKIE,10672,11743,16213,14031,14752,14926,13907,12526,12625,12349,11422,12012
MAZOWIECKIE,21749,26317,34974,32734,32814,34268,31585,27981,28183,27500,26821,29379
OPOLSKIE,2724,3152,3996,3477,3647,3721,3541,3239,3253,3145,2849,3109
PODKARPACKIE,6137,6201,8758,8078,8431,8593,7934,7643,7440,7002,6813,6992
PODLASKIE,3090,3492,5071,4494,4725,4747,4557,4149,4063,3799,3616,3897
POMORSKIE,7149,8275,10649,9686,9638,10172,9466,8551,8430,8220,7786,8177
ŚLĄSKIE,12337,14715,19513,16210,16763,17486,15878,13826,14487,14016,13198,13147
ŚWIĘTOKRZYSKIE,3846,3988,5416,4753,4941,5230,4896,4396,4411,4270,4169,4146
WARMIŃSKO-MAZURSKIE,3184,3595,5164,4951,5030,5184,5105,4526,4460,3977,3852,3805
WIELKOPOLSKIE,15640,17753,24139,21244,20817,20853,19198,17289,18405,17906,17040,17589
ZACHODNIOPOMORSKIE,4254,4906,6321,5698,5738,5928,5963,5437,5348,5044,4827,4571
