WOJEWÓDZTWO;styczeñ;luty;marzec;kwiecieñ;maj;czerwiec;lipiec;sierpieñ;wrzesieñ;paŸdziernik;listopad;grudzieñ
DOLNOŒL¥SKIE;9493;10644;14114;12186;12716;13243;12145;11034;10898;10 176;9 914;9735
KUJAWSKO-POMORSKIE;5769;6627;8807;8075;7695;7999;7610;6777;6919;6 596;6 128;6433
LUBELSKIE;6313;6425;9140;8191;8188;8442;7779;7405;7470;7 038;6 701;7155
LUBUSKIE;3539;4285;5355;4424;4897;4992;4436;4345;4480;4 312;3 959;3675
£ÓDZKIE;7006;8490;10428;9756;9693;10136;9018;7987;8480;8 218;8 157;8033
MA£OPOLSKIE;10672;11743;16213;14031;14752;14926;13907;12526;12625;12 349;11 422;12012
MAZOWIECKIE;21749;26317;34974;32734;32814;34268;31585;27981;28183;27 500;26 821;29379
OPOLSKIE;2724;3152;3996;3477;3647;3721;3541;3239;3253;3 145;2 849;3109
PODKARPACKIE;6137;6201;8758;8078;8431;8593;7934;7643;7440;7 002;6 813;6992
PODLASKIE;3090;3492;5071;4494;4725;4747;4557;4149;4063;3 799;3 616;3897
POMORSKIE;7149;8275;10649;9686;9638;10172;9466;8551;8430;8 220;7 786;8177
ŒL¥SKIE;12337;14715;19513;16210;16763;17486;15878;13826;14487;14 016;13 198;13147
ŒWIÊTOKRZYSKIE;3846;3988;5416;4753;4941;5230;4896;4396;4411;4 270;4 169;4146
WARMIÑSKO-MAZURSKIE;3184;3595;5164;4951;5030;5184;5105;4526;4460;3 977;3 852;3805
WIELKOPOLSKIE;15640;17753;24139;21244;20817;20853;19198;17289;18405;17 906;17 040;17589
ZACHODNIOPOMORSKIE;4254;4906;6321;5698;5738;5928;5963;5437;5348;5 044;4 827;4571
