,voivodeship,year,month,vehicles,date
0,dolnośląskie,2014,1,7921,01-2014
1,kujawsko-pomorskie,2014,1,5153,01-2014
2,lubelskie,2014,1,4864,01-2014
3,lubuskie,2014,1,3217,01-2014
4,łódzkie,2014,1,5798,01-2014
5,małopolskie,2014,1,8950,01-2014
6,mazowieckie,2014,1,17194,01-2014
7,opolskie,2014,1,2687,01-2014
8,podkarpackie,2014,1,5183,01-2014
9,podlaskie,2014,1,2617,01-2014
10,pomorskie,2014,1,5881,01-2014
11,śląskie,2014,1,11788,01-2014
12,świętokrzyskie,2014,1,3199,01-2014
13,warmińsko-mazurskie,2014,1,2852,01-2014
14,wielkopolskie,2014,1,12832,01-2014
15,zachodniopomorskie,2014,1,4103,01-2014
16,dolnośląskie,2014,2,8505,02-2014
17,kujawsko-pomorskie,2014,2,5374,02-2014
18,lubelskie,2014,2,5159,02-2014
19,lubuskie,2014,2,3461,02-2014
20,łódzkie,2014,2,6539,02-2014
21,małopolskie,2014,2,9541,02-2014
22,mazowieckie,2014,2,19587,02-2014
23,opolskie,2014,2,2594,02-2014
24,podkarpackie,2014,2,5173,02-2014
25,podlaskie,2014,2,3017,02-2014
26,pomorskie,2014,2,6626,02-2014
27,śląskie,2014,2,12834,02-2014
28,świętokrzyskie,2014,2,3450,02-2014
29,warmińsko-mazurskie,2014,2,3195,02-2014
30,wielkopolskie,2014,2,14272,02-2014
31,zachodniopomorskie,2014,2,4309,02-2014
32,dolnośląskie,2014,3,9831,03-2014
33,kujawsko-pomorskie,2014,3,6753,03-2014
34,lubelskie,2014,3,6786,03-2014
35,lubuskie,2014,3,4081,03-2014
36,łódzkie,2014,3,8154,03-2014
37,małopolskie,2014,3,11134,03-2014
38,mazowieckie,2014,3,25124,03-2014
39,opolskie,2014,3,3120,03-2014
40,podkarpackie,2014,3,6324,03-2014
41,podlaskie,2014,3,3763,03-2014
42,pomorskie,2014,3,7795,03-2014
43,śląskie,2014,3,14899,03-2014
44,świętokrzyskie,2014,3,4173,03-2014
45,warmińsko-mazurskie,2014,3,4038,03-2014
46,wielkopolskie,2014,3,17037,03-2014
47,zachodniopomorskie,2014,3,5187,03-2014
48,dolnośląskie,2014,4,9636,04-2014
49,kujawsko-pomorskie,2014,4,7036,04-2014
50,lubelskie,2014,4,6760,04-2014
51,lubuskie,2014,4,4170,04-2014
52,łódzkie,2014,4,8022,04-2014
53,małopolskie,2014,4,10995,04-2014
54,mazowieckie,2014,4,24120,04-2014
55,opolskie,2014,4,3140,04-2014
56,podkarpackie,2014,4,6383,04-2014
57,podlaskie,2014,4,3915,04-2014
58,pomorskie,2014,4,7849,04-2014
59,śląskie,2014,4,14019,04-2014
60,świętokrzyskie,2014,4,4236,04-2014
61,warmińsko-mazurskie,2014,4,4250,04-2014
62,wielkopolskie,2014,4,17051,04-2014
63,zachodniopomorskie,2014,4,5262,04-2014
64,dolnośląskie,2014,5,8938,05-2014
65,kujawsko-pomorskie,2014,5,6252,05-2014
66,lubelskie,2014,5,6256,05-2014
67,lubuskie,2014,5,3806,05-2014
68,łódzkie,2014,5,7472,05-2014
69,małopolskie,2014,5,9909,05-2014
70,mazowieckie,2014,5,22492,05-2014
71,opolskie,2014,5,2925,05-2014
72,podkarpackie,2014,5,5961,05-2014
73,podlaskie,2014,5,3310,05-2014
74,pomorskie,2014,5,6969,05-2014
75,śląskie,2014,5,12743,05-2014
76,świętokrzyskie,2014,5,4075,05-2014
77,warmińsko-mazurskie,2014,5,3775,05-2014
78,wielkopolskie,2014,5,15448,05-2014
79,zachodniopomorskie,2014,5,4832,05-2014
80,dolnośląskie,2014,6,9059,06-2014
81,kujawsko-pomorskie,2014,6,6229,06-2014
82,lubelskie,2014,6,6121,06-2014
83,lubuskie,2014,6,3785,06-2014
84,łódzkie,2014,6,7338,06-2014
85,małopolskie,2014,6,9926,06-2014
86,mazowieckie,2014,6,21889,06-2014
87,opolskie,2014,6,2908,06-2014
88,podkarpackie,2014,6,6040,06-2014
89,podlaskie,2014,6,3398,06-2014
90,pomorskie,2014,6,7297,06-2014
91,śląskie,2014,6,13029,06-2014
92,świętokrzyskie,2014,6,3842,06-2014
93,warmińsko-mazurskie,2014,6,3932,06-2014
94,wielkopolskie,2014,6,15031,06-2014
95,zachodniopomorskie,2014,6,4866,06-2014
96,dolnośląskie,2014,7,9940,07-2014
97,kujawsko-pomorskie,2014,7,6993,07-2014
98,lubelskie,2014,7,6974,07-2014
99,lubuskie,2014,7,4175,07-2014
100,łódzkie,2014,7,8002,07-2014
101,małopolskie,2014,7,10966,07-2014
102,mazowieckie,2014,7,23771,07-2014
103,opolskie,2014,7,3166,07-2014
104,podkarpackie,2014,7,6904,07-2014
105,podlaskie,2014,7,3665,07-2014
106,pomorskie,2014,7,8073,07-2014
107,śląskie,2014,7,14003,07-2014
108,świętokrzyskie,2014,7,4361,07-2014
109,warmińsko-mazurskie,2014,7,4442,07-2014
110,wielkopolskie,2014,7,16385,07-2014
111,zachodniopomorskie,2014,7,5669,07-2014
112,dolnośląskie,2014,8,8249,08-2014
113,kujawsko-pomorskie,2014,8,5842,08-2014
114,lubelskie,2014,8,5853,08-2014
115,lubuskie,2014,8,3660,08-2014
116,łódzkie,2014,8,6455,08-2014
117,małopolskie,2014,8,9191,08-2014
118,mazowieckie,2014,8,19069,08-2014
119,opolskie,2014,8,2848,08-2014
120,podkarpackie,2014,8,5994,08-2014
121,podlaskie,2014,8,3062,08-2014
122,pomorskie,2014,8,6689,08-2014
123,śląskie,2014,8,11538,08-2014
124,świętokrzyskie,2014,8,3597,08-2014
125,warmińsko-mazurskie,2014,8,3736,08-2014
126,wielkopolskie,2014,8,13592,08-2014
127,zachodniopomorskie,2014,8,4784,08-2014
128,dolnośląskie,2014,9,9141,09-2014
129,kujawsko-pomorskie,2014,9,6086,09-2014
130,lubelskie,2014,9,6087,09-2014
131,lubuskie,2014,9,3649,09-2014
132,łódzkie,2014,9,7183,09-2014
133,małopolskie,2014,9,9834,09-2014
134,mazowieckie,2014,9,21797,09-2014
135,opolskie,2014,9,2802,09-2014
136,podkarpackie,2014,9,5893,09-2014
137,podlaskie,2014,9,3261,09-2014
138,pomorskie,2014,9,7325,09-2014
139,śląskie,2014,9,12636,09-2014
140,świętokrzyskie,2014,9,3796,09-2014
141,warmińsko-mazurskie,2014,9,3717,09-2014
142,wielkopolskie,2014,9,14542,09-2014
143,zachodniopomorskie,2014,9,5013,09-2014
144,dolnośląskie,2014,10,9816,10-2014
145,kujawsko-pomorskie,2014,10,6218,10-2014
146,lubelskie,2014,10,6419,10-2014
147,lubuskie,2014,10,4027,10-2014
148,łódzkie,2014,10,7654,10-2014
149,małopolskie,2014,10,10723,10-2014
150,mazowieckie,2014,10,23365,10-2014
151,opolskie,2014,10,2986,10-2014
152,podkarpackie,2014,10,6221,10-2014
153,podlaskie,2014,10,3225,10-2014
154,pomorskie,2014,10,7657,10-2014
155,śląskie,2014,10,13958,10-2014
156,świętokrzyskie,2014,10,3839,10-2014
157,warmińsko-mazurskie,2014,10,3723,10-2014
158,wielkopolskie,2014,10,15866,10-2014
159,zachodniopomorskie,2014,10,5081,10-2014
160,dolnośląskie,2014,11,7297,11-2014
161,kujawsko-pomorskie,2014,11,4746,11-2014
162,lubelskie,2014,11,4777,11-2014
163,lubuskie,2014,11,3124,11-2014
164,łódzkie,2014,11,5870,11-2014
165,małopolskie,2014,11,8242,11-2014
166,mazowieckie,2014,11,18955,11-2014
167,opolskie,2014,11,2325,11-2014
168,podkarpackie,2014,11,4841,11-2014
169,podlaskie,2014,11,2408,11-2014
170,pomorskie,2014,11,5879,11-2014
171,śląskie,2014,11,10757,11-2014
172,świętokrzyskie,2014,11,2936,11-2014
173,warmińsko-mazurskie,2014,11,2828,11-2014
174,wielkopolskie,2014,11,12313,11-2014
175,zachodniopomorskie,2014,11,3882,11-2014
176,dolnośląskie,2014,12,7885,12-2014
177,kujawsko-pomorskie,2014,12,4954,12-2014
178,lubelskie,2014,12,5316,12-2014
179,lubuskie,2014,12,3109,12-2014
180,łódzkie,2014,12,6008,12-2014
181,małopolskie,2014,12,8896,12-2014
182,mazowieckie,2014,12,20966,12-2014
183,opolskie,2014,12,2317,12-2014
184,podkarpackie,2014,12,5597,12-2014
185,podlaskie,2014,12,2704,12-2014
186,pomorskie,2014,12,5949,12-2014
187,śląskie,2014,12,11258,12-2014
188,świętokrzyskie,2014,12,3181,12-2014
189,warmińsko-mazurskie,2014,12,2900,12-2014
190,wielkopolskie,2014,12,13097,12-2014
